source,productid,mobilename,userid,review,rating,reviewdate
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Raghu Vamshi,"...The camera is decent, very good light adjustment, and the picture quality is good, and the Front camera is also capturing decent pics",,2025-01-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",DIPANKAR KUMAR MEHTA,"...The camera quality overall is good and feels sharp and detailed, giving you nice crispy images in the daytime.",,2024-09-01
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Basheer KA,...This phone is awesome. The camera quality is unexpected ,,2025-01-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Mahesh Kuwal,...Camera quality is very good front camera 16mp and back 50mp slow motion and portrait features are available,,2025-03-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",BIJU SULAIMAN,"...After a week of use, here's my take:Camera (35): Decent for casual shots but lacks sharpness, especially in low light.",,2024-11-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Md Shariq Zafar khan,...2. Camera: Camera set up is really awesome and best in this segment.,,2024-11-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",ranjit pradhan,...Nice phone and back camera is excellent but selfie camera quality is normal please upgrade this selfie camera.,,2025-03-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Flipkart Customer,...552.phone look and design 553. Phone camera front 35 back 3.554. Battery 35 or less than that5. Let's,,2024-11-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Samarpan  Roy,...Camera is good for outdoor lighting conditions; takes decent shots but takes little bit of time in processing the image.,,2024-08-01
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Flipkart Customer,...Camera quality not best and calling time break issue,,2025-09-18
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Saroj Sharma,"...CameraThe Moto G45 has a 50MP primary camera and a 2MP macro camera, as well as a 16MP selfie camera .",,2025-04-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Pawan Kumar,... Display - 352. Performance - 453.Camera - 3.554.OS experience - 4.55 (as there are some,,2024-12-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Datta Shelar,...Very good mobile picture quality is good camera very good security outstanding,,2025-05-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Suraj kr  Yadav,...Camera quality good but portrait mode is weak.,,2025-03-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Himan Sarma,"...The front camera is alright but the rear is not, the rear cam lacks sharpness and the photos come out very dull and depressed.",,2025-05-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Flipkart Customer,"...While opening a camera, it take times and then after click a photo it take few times to render out and the quality of camera is very poor.",,2025-04-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Gaurav Sarkar,"...Camera quality was not upto the mark, it's like over defined images.",,2025-05-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Vishal Singh,...Camera: camera is looking to precious and picture is also very clear front camera shows holistic performance,,2024-09-01
