productid,category,product_name,current_price,predicted_price_7d,trend,confidence,n_data_points,status
COMGFHMJFHEDTDD4,laptops,Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A114-43 Thin and Light Lap...,,,insufficient_history,none,2,insufficient_history
COMGMV6VQPNPGCBW,laptops,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,44990.0,,insufficient_history,none,2,insufficient_history
COMGT2ZXC24MFNFA,laptops,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ321WS Thin...,35990.0,,insufficient_history,none,2,insufficient_history
COMGT846VD2DQBG4,laptops,Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,17490.0,,insufficient_history,none,2,insufficient_history
COMGTGFGB8GK3NV7,laptops,Acer ‎Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) A114-43 Thin and Lig...,45502.0,,insufficient_history,none,2,insufficient_history
COMGWKF2QYG6XNCZ,laptops,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,51990.0,,insufficient_history,none,1,insufficient_history
COMGZNSBMUR7S8WY,laptops,HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Th...,51990.0,,insufficient_history,none,1,insufficient_history
COMGZUYDFZXHWYWZ,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,60990.0,,insufficient_history,none,2,insufficient_history
COMGZUYDGFJGHZR4,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,79990.0,,insufficient_history,none,1,insufficient_history
COMH2TPSHCGYHHH8,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,39900.0,,insufficient_history,none,1,insufficient_history
COMH2TPSM9V7V38F,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,46990.0,,insufficient_history,none,2,insufficient_history
COMH2TPSVSGUVKY4,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,39990.0,,insufficient_history,none,2,insufficient_history
COMH397X2KJ8XCHR,laptops,Acer Aspire 15 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin ...,49990.0,,insufficient_history,none,2,insufficient_history
COMH397XPF4Z3BMX,laptops,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,54990.0,,insufficient_history,none,2,insufficient_history
COMH397XW36HUXB8,laptops,Acer Aspire 15 AMD Office 2024 + M365 Basic AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11...,56990.0,,insufficient_history,none,2,insufficient_history
COMH4B6CGZKHKUV3,laptops,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,49990.0,,insufficient_history,none,2,insufficient_history
COMH4Y6KT9ZMYXA6,laptops,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,56790.0,,insufficient_history,none,1,insufficient_history
COMH59ENQYHDYJGX,laptops,Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,43990.0,,insufficient_history,none,2,insufficient_history
COMH6BCGNK3NGTE4,laptops,WarnerCann Hi5 pro Intel Core i5 12th Gen - (8 GB/256 GB SSD/Windows 11 Pro) Hi5 Pro Business Laptop B...,34566.0,,insufficient_history,none,1,insufficient_history
COMH743DRRNQYDSH,laptops,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,49890.0,,insufficient_history,none,2,insufficient_history
COMH7NCZ8BARKXFF,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,38500.0,,insufficient_history,none,2,insufficient_history
COMH7NCZGGGWQC4W,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,35500.0,,insufficient_history,none,2,insufficient_history
COMH7NCZY2QDJ5Z4,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,36882.0,,insufficient_history,none,2,insufficient_history
COMH89EBYFHZZGMH,laptops,"ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic, AI PC Intel Core Ultra 5 Series 2 225H - (16 GB...",97490.0,,insufficient_history,none,1,insufficient_history
COMH8EPFHZRD9YDC,laptops,DELL 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,55990.0,,insufficient_history,none,1,insufficient_history
