source,product_id,category,product_name,price,mrp,discount,rating,url,scraped_at,matched_id
flipkart,FK_HA_001,home_appliances,Samsung 7 kg 5 Star Front Load Washing Machine,32990,38990,15.4,4.4,https://www.flipkart.com/search?q=Samsung+7+kg+5+Star+Front+Load+Washing+Machine,2026-09-10 10:00:00,MATCH_HA_001
amazon,AZ_HA_001,home_appliances,Samsung 7 kg 5 Star Front Load Washing Machine,31490,38990,19.2,4.3,https://www.amazon.in/s?k=Samsung+7+kg+5+Star+Front+Load+Washing+Machine&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_001
flipkart,FK_HA_002,home_appliances,LG 8 kg 5 Star Inverter Front Load Washing Machine,38990,45990,15.2,4.5,https://www.flipkart.com/search?q=LG+8+kg+5+Star+Inverter+Front+Load+Washing+Machine,2026-09-10 10:00:00,MATCH_HA_002
amazon,AZ_HA_002,home_appliances,LG 8 kg 5 Star Inverter Front Load Washing Machine,37490,45990,18.5,4.4,https://www.amazon.in/s?k=LG+8+kg+5+Star+Inverter+Front+Load+Washing+Machine&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_002
flipkart,FK_HA_003,home_appliances,Whirlpool 7.5 kg 5 Star Top Load Washing Machine,18990,23990,20.8,4.2,https://www.flipkart.com/search?q=Whirlpool+7.5+kg+5+Star+Top+Load+Washing+Machine,2026-09-10 10:00:00,MATCH_HA_003
amazon,AZ_HA_003,home_appliances,Whirlpool 7.5 kg 5 Star Top Load Washing Machine,17990,23990,25.0,4.1,https://www.amazon.in/s?k=Whirlpool+7.5+kg+5+Star+Top+Load+Washing+Machine&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_003
flipkart,FK_HA_004,home_appliances,IFB 6 kg 5 Star Front Load Washing Machine,28490,34990,18.6,4.5,https://www.flipkart.com/search?q=IFB+6+kg+5+Star+Front+Load+Washing+Machine,2026-09-10 10:00:00,MATCH_HA_004
amazon,AZ_HA_004,home_appliances,IFB 6 kg 5 Star Front Load Washing Machine,27490,34990,21.4,4.4,https://www.amazon.in/s?k=IFB+6+kg+5+Star+Front+Load+Washing+Machine&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_004
flipkart,FK_HA_005,home_appliances,Bosch 7 kg 5 Star Front Load Washing Machine,29990,36990,18.9,4.5,https://www.flipkart.com/search?q=Bosch+7+kg+5+Star+Front+Load+Washing+Machine,2026-09-10 10:00:00,MATCH_HA_005
amazon,AZ_HA_005,home_appliances,Bosch 7 kg 5 Star Front Load Washing Machine,28990,36990,21.6,4.4,https://www.amazon.in/s?k=Bosch+7+kg+5+Star+Front+Load+Washing+Machine&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_005
