source,productid,category,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,COMHKQA3FFDKKNHZ,laptops,ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CTA-S7025...,24990.0,,,,https://www.flipkart.com/asus-chromebook-cx15-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1505cta-s70256-laptop/p/itm987fe58d63593?pid=COMHKQA3FFDKKNHZ&lid=LSTCOMHKQA3FFDKKNHZT4TS4R&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHKQA3FFDKKNHZ.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHA9FK8YXVUUWA,laptops,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,20990.0,25100.0,16% off,,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os/p/itm041aea27f1885?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAEISF9G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHD8BGH99YFMNR,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,24999.0,29533.0,15% off,,https://www.flipkart.com/neopticon-browsebook-intel-celeron-dual-core-n4020-4-gb-256-gb-ssd-windows-11-home-bbn40425614-laptop/p/itm37acb99d8fded?pid=COMHD8BGH99YFMNR&lid=LSTCOMHD8BGH99YFMNRQ9MKZO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHD8BGH99YFMNR.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHBFRJEWGN4FMY,laptops,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,50903.0,,,,https://www.flipkart.com/hp-mso-2024-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-15-fd0574tu-15-fd0668tu-thin-light-laptop/p/itmcb9e5b7b2d3fb?pid=COMHBFRJEWGN4FMY&lid=LSTCOMHBFRJEWGN4FMYNEJ3G6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHBFRJEWGN4FMY.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHNHH8FBHVAY2N,laptops,ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,489990.0,593990.0,17% off,,https://www.flipkart.com/asus-rog-zephyrus-g16-oled-2026-intel-core-ultra-9-386h-32-gb-2-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-5070-ti-240-hz-gu606ar-tb039ws-gaming-laptop/p/itmdee0c1001d6a1?pid=COMHNHH8FBHVAY2N&lid=LSTCOMHNHH8FBHVAY2NVLQNF7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHNHH8FBHVAY2N.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHFSGXHHSXD7MF,laptops,DELL 14 Microsoft Office Home 2024 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5441 Thi...,64990.0,87704.0,25% off,,https://www.flipkart.com/dell-14-microsoft-office-home-2024-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-inspiron-5441-thin-light-laptop/p/itmb16ff5081b580?pid=COMHFSGXHHSXD7MF&lid=LSTCOMHFSGXHHSXD7MFSS6YFV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHFSGXHHSXD7MF.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH4B6CGZKHKUV3,laptops,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,49990.0,66999.0,25% off,,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMGT846VD2DQBG4,laptops,Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,17490.0,24990.0,30% off,,https://www.flipkart.com/primebook-wifi-2026-model-mediatek-mt8183-4-gb-64-gb-emmc-storage-prime-os-pb-thin-light-laptop/p/itmfd14d0fbf7736?pid=COMGT846VD2DQBG4&lid=LSTCOMGT846VD2DQBG4VPIAOU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMGT846VD2DQBG4.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMGZUYDFZXHWYWZ,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,60990.0,78189.0,21% off,,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMGZUYDFZXHWYWZ.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMGMV6VQPNPGCBW,laptops,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,48500.0,55900.0,13% off,,https://www.flipkart.com/msi-modern-14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-c12m-445in-c12mo-1022in-thin-light-laptop/p/itmef8f5c6fd8e76?pid=COMGMV6VQPNPGCBW&lid=LSTCOMGMV6VQPNPGCBWSVSLM7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMGMV6VQPNPGCBW.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHD8BGE3PJJGAP,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,26500.0,29999.0,11% off,,https://www.flipkart.com/neopticon-browsebook-intel-celeron-dual-core-n4020-8-gb-256-gb-ssd-windows-11-home-bbn40825614-laptop/p/itm1f0cba8e31826?pid=COMHD8BGE3PJJGAP&lid=LSTCOMHD8BGE3PJJGAP8SRMUD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHD8BGE3PJJGAP.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
