productid,category,product_name,review_count,n_price_points,price_volatility,norm_reviews,norm_volatility,composite_score
COMGFHMJFHEDTDD4,laptops,Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A114-43 Thin and Light Lap...,0,2,,0.0,0.0,0.0
COMGMV6VQPNPGCBW,laptops,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,0,2,,0.0,0.0,0.0
COMGT2ZXC24MFNFA,laptops,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ321WS Thin...,0,2,,0.0,0.0,0.0
COMGT846VD2DQBG4,laptops,Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,0,2,,0.0,0.0,0.0
COMGTGFGB8GK3NV7,laptops,Acer ‎Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) A114-43 Thin and Lig...,0,2,,0.0,0.0,0.0
COMGWKF2QYG6XNCZ,laptops,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,0,1,,0.0,0.0,0.0
COMGZNSBMUR7S8WY,laptops,HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Th...,0,1,,0.0,0.0,0.0
COMGZUYDFZXHWYWZ,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,0,2,,0.0,0.0,0.0
COMGZUYDGFJGHZR4,laptops,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,0,1,,0.0,0.0,0.0
COMH2TPSHCGYHHH8,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,0,1,,0.0,0.0,0.0
COMH2TPSM9V7V38F,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,0,2,,0.0,0.0,0.0
COMH2TPSVSGUVKY4,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,0,2,,0.0,0.0,0.0
COMH397X2KJ8XCHR,laptops,Acer Aspire 15 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin ...,0,2,,0.0,0.0,0.0
COMH397XPF4Z3BMX,laptops,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,0,2,,0.0,0.0,0.0
COMH397XW36HUXB8,laptops,Acer Aspire 15 AMD Office 2024 + M365 Basic AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11...,0,2,,0.0,0.0,0.0
COMH4B6CGZKHKUV3,laptops,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,0,2,,0.0,0.0,0.0
COMH4Y6KT9ZMYXA6,laptops,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,0,1,,0.0,0.0,0.0
COMH59ENQYHDYJGX,laptops,Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,0,2,,0.0,0.0,0.0
COMH6BCGNK3NGTE4,laptops,WarnerCann Hi5 pro Intel Core i5 12th Gen - (8 GB/256 GB SSD/Windows 11 Pro) Hi5 Pro Business Laptop B...,0,1,,0.0,0.0,0.0
COMH743DRRNQYDSH,laptops,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,0,2,,0.0,0.0,0.0
COMH7NCZ8BARKXFF,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,0,2,,0.0,0.0,0.0
COMH7NCZGGGWQC4W,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,0,2,,0.0,0.0,0.0
COMH7NCZY2QDJ5Z4,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,0,2,,0.0,0.0,0.0
COMH89EBYFHZZGMH,laptops,"ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic, AI PC Intel Core Ultra 5 Series 2 225H - (16 GB...",0,1,,0.0,0.0,0.0
COMH8EPFHZRD9YDC,laptops,DELL 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,0,1,,0.0,0.0,0.0
COMH8Z2QRWQQZTCJ,laptops,ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 1...,0,2,,0.0,0.0,0.0
COMH9SJ9Q8ZZHFN7,laptops,"ASUS Vivobook 15 (2025) with Touchscreen & Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 ...",0,2,,0.0,0.0,0.0
COMH9ZWQSAU7H4TG,laptops,Apple MacBook Air M4 - (24 GB/512 GB SSD/macOS Sequoia) MC7D4HN/A,0,2,,0.0,0.0,0.0
COMHA9FK8YXVUUWA,laptops,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,0,2,,0.0,0.0,0.0
COMHBFRJEWGN4FMY,laptops,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,0,2,,0.0,0.0,0.0
COMHBFRJJPDPHZ2H,laptops,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,0,2,,0.0,0.0,0.0
COMHBFRJKS4UDSRU,laptops,HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,0,1,,0.0,0.0,0.0
COMHBYH3ZQMZKTSA,laptops,Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,0,1,,0.0,0.0,0.0
COMHCC7ADKEWZPSJ,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,0,1,,0.0,0.0,0.0
COMHCPHGZXJWVNX2,laptops,HP 15 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,0,2,,0.0,0.0,0.0
COMHCYMG83BGNQHH,laptops,Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,0,2,,0.0,0.0,0.0
COMHD8BGE3PJJGAP,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,0,1,,0.0,0.0,0.0
COMHD8BGH99YFMNR,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,0,2,,0.0,0.0,0.0
COMHD8BGPXTWVY3J,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) BBN40412814 Lap...,0,2,,0.0,0.0,0.0
COMHDFUWWFF77NQC,laptops,HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,0,1,,0.0,0.0,0.0
COMHDG7CFDWVKYMZ,laptops,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",0,2,,0.0,0.0,0.0
