source,productid,mobilename,userid,review,rating,reviewdate,sentiment,_review_cleaned
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,2025-05-12,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab,,2025-10-04,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Pintu Harsha,...Perfomance wise also good ...No doubt about camera (stunning,,2025-10-06,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,2025-10-06,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,2025-10-03,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,2025-10-05,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Ayush Raj,...Such a premium feel when you hold it.Camera is as usual top notch.Nothing to nitpic.,,2025-10-10,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,2025-10-11,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,2024-09-01,Positive,
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",Abhijeet  Modak,...Very bad. I got this in BBD.Camera quality is superb.,,2025-10-05,Negative,
flipkart,a2920c68b7fc8,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",Anonymous,,,,Positive,
flipkart,5a4e9a881d94a,"POCO M7 5G (Mint Green, 128 GB)",Anonymous,,,,Neutral,
flipkart,3ac3f82a0d665,"REDMI Note 14 SE 5G (Mystique White, 128 GB)",Anonymous,,,,Positive,
flipkart,e5ed06a5943b9,"MOTOROLA g05 (Forest Green, 64 GB)",Anonymous,,,,Positive,
flipkart,07bdfc2cf54df,"Ai+ Pulse (Green, 64 GB)",Anonymous,,,,Negative,
flipkart,a3ca32cc93927,"MOTOROLA g35 5G (Leaf Green, 128 GB)",Anonymous,,,,Positive,
flipkart,8553dc1ee56ee,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",Anonymous,,,,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Deepak Baretha,"...Camera Quality is very good, feel like premium phone",,2025-09-26,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Flipkart Customer,"...4. Cameras: This is the only saving grace, however still not perfect.",,2025-10-01,Neutral,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Keshav Pawaskar,...The main camera captures good photos with sharp details and doesn't produce overly soft images.,,2025-08-12,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Anuj Gupta,"...The smartphone is awesome, especially it's camera",,2025-10-07,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Krushna dash,...Very bad mobile and camera quality is very bad.,,2025-08-12,Negative,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Sana Afroz,...The camera quality is too good.The battery backup is also good but the,,2025-10-01,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",ADARSH  Kumar,...Nice mobile ...camera quality awesome .,,2025-10-07,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Rajesh,...back side logo.5. Performance is good.6. The camera is good.7. Phone is light weight.8. Display colors,,2025-08-12,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Nagesh  Patwal,...Camera quality1010front camera quality1010Sound quality 1010,,2025-10-01,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Obayeed Hasan,...Due to camera quality it will spoil the motorola reputation.,,2025-09-19,Negative,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Mohammed Rafiq,...The camera is awesome and gives best quality images,,2025-09-29,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",AMAR DEBNATH,...Best Battery life and performance phone..Camera quality very good...I am very satisfied..,,2025-10-06,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Sangita  Dey,"...the best smartphone in this price range.The camera and video quality is fabulous.The battery consumption is ok, I can say",,2025-08-12,Positive,
