productid,category,product_name,source,price,mrp,discount,rating,scraped_at
COMHNNHG5N32TYQF,laptops,Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,flipkart,115999,120990,4% off,,2026-09-09T09:46:13.810502
COMHM9URJR7BV3HY,laptops,ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (32 GB/1 TB SSD/Windows 11 Home) B9406CAA...,flipkart,272990,449990,39% off,,2026-09-09T09:46:13.810502
COMHKQA3FFDKKNHZ,laptops,ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CTA-S7025...,flipkart,24990,,,,2026-09-09T09:46:13.810502
COMHA9FK8YXVUUWA,laptops,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,flipkart,20990,25100,16% off,,2026-09-09T09:46:13.810502
COMHD8BGH99YFMNR,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,flipkart,24999,29533,15% off,,2026-09-09T09:46:13.810502
COMHBFRJEWGN4FMY,laptops,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,flipkart,50903,,,,2026-09-09T09:46:13.810502
COMHNHH8FBHVAY2N,laptops,ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,flipkart,489990,593990,17% off,,2026-09-09T09:46:13.810502
COMHFSGXHHSXD7MF,laptops,DELL 14 Microsoft Office Home 2024 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5441 Thi...,flipkart,64990,87704,25% off,,2026-09-09T09:46:13.810502
COMH4B6CGZKHKUV3,laptops,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,flipkart,49990,66999,25% off,,2026-09-09T09:46:13.810502
COMGT846VD2DQBG4,laptops,Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,flipkart,17490,24990,30% off,,2026-09-09T09:46:13.810502
