source,productid,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",79999,,,4.6,https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1?pid=MOBH4DQFZCJJXUFG&lid=LSTMOBH4DQFZCJJXUFGO5DY3W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFZCJJXUFG.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,b07d67f995271,"Apple iPhone 16 (Black, 128 GB)",69999,,,4.6,https://www.flipkart.com/apple-iphone-16-black-128-gb/p/itmb07d67f995271?pid=MOBH4DQFG8NKFRDY&lid=LSTMOBH4DQFG8NKFRDYNBDOZI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFG8NKFRDY.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",69999,,,4.6,https://www.flipkart.com/apple-iphone-16-white-128-gb/p/itm7c0281cd247be?pid=MOBH4DQF849HCG6G&lid=LSTMOBH4DQF849HCG6GXHBPXY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQF849HCG6G.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",69999,,,4.6,https://www.flipkart.com/apple-iphone-16-pink-128-gb/p/itmc2e910b4d0b1c?pid=MOBH4DQFWJVDRSHM&lid=LSTMOBH4DQFWJVDRSHMAMTBLL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFWJVDRSHM.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",69999,,,4.6,https://www.flipkart.com/apple-iphone-16-ultramarine-128-gb/p/itmcc210cae43fba?pid=MOBH4DQFYZT6EH2F&lid=LSTMOBH4DQFYZT6EH2FXM70WU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFYZT6EH2F.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,ce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",69999,,,4.6,https://www.flipkart.com/apple-iphone-16-teal-128-gb/p/itmce4bb3f55cc2f?pid=MOBH4DQFSY9ETDUU&lid=LSTMOBH4DQFSY9ETDUUI6AN3O&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFSY9ETDUU.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,a0ed9b33a2973,"Apple iPhone 16 (White, 256 GB)",79999,,,4.6,https://www.flipkart.com/apple-iphone-16-white-256-gb/p/itma0ed9b33a2973?pid=MOBH4DQFCU7ZY9HG&lid=LSTMOBH4DQFCU7ZY9HGOIRVNY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFCU7ZY9HG.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",119999,,,4.6,https://www.flipkart.com/apple-iphone-16-pro-desert-titanium-256-gb/p/itm4f25cec0bd003?pid=MOBH4DQFEZFXPGNJ&lid=LSTMOBH4DQFEZFXPGNJV4UWQH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFEZFXPGNJ.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,2b7be11cfadef,"Apple iPhone 16 (Teal, 256 GB)",79999,,,4.6,https://www.flipkart.com/apple-iphone-16-teal-256-gb/p/itm2b7be11cfadef?pid=MOBH4DQFYKJHESFG&lid=LSTMOBH4DQFYKJHESFG4RZ0KX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH4DQFYKJHESFG.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,6d2e15988f2c4,"Google Pixel 8a (Bay, 128 GB)",29999,52999.0,43% off,4.3,https://www.flipkart.com/google-pixel-8a-bay-128-gb/p/itm6d2e15988f2c4?pid=MOBGYQ2MQYHU59Y2&lid=LSTMOBGYQ2MQYHU59Y2IR0ZZ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBGYQ2MQYHU59Y2.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
